timeStamp,elapsed,label,responseCode,reponseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.61E+12,7,"Admin, General Information-0",301,Moved Permanently,Users 1-40,text,TRUE,,663,175,4,4,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,6,0,0
1.61E+12,241,"Admin, General Information-1",200,OK,Users 1-40,text,TRUE,,38784,175,4,4,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,237,0,0
1.61E+12,238,Employee List,200,OK,Users 1-39,text,TRUE,,39423,326,5,5,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,7,0,0
1.61E+12,7,Employee List-0,301,Moved Permanently,Users 1-39,text,TRUE,,639,163,5,5,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,7,0,0
1.61E+12,231,Employee List-1,200,OK,Users 1-39,text,TRUE,,38784,163,5,5,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,225,0,0
1.61E+12,1634,Login page,200,OK,Users 1-41,text,TRUE,,39366,268,5,5,https://qa.cilsy.id/symfony/web/index.php,478,0,13
1.61E+12,478,Login page-0,301,Moved Permanently,Users 1-41,text,TRUE,,581,134,5,5,http://qa.cilsy.id/symfony/web/index.php,478,0,13
1.61E+12,1156,Login page-1,200,OK,Users 1-41,text,TRUE,,38785,134,5,5,https://qa.cilsy.id/symfony/web/index.php,1152,0,688
1.61E+12,253,"Admin, General Information",200,OK,Users 1-41,text,TRUE,,39447,350,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,5,"Admin, General Information-0",301,Moved Permanently,Users 1-41,text,TRUE,,663,175,5,5,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,248,"Admin, General Information-1",200,OK,Users 1-41,text,TRUE,,38784,175,5,5,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,241,0,0
1.61E+12,1792,Login page,200,OK,Users 1-42,text,TRUE,,39366,268,6,6,https://qa.cilsy.id/symfony/web/index.php,445,0,6
1.61E+12,445,Login page-0,301,Moved Permanently,Users 1-42,text,TRUE,,581,134,6,6,http://qa.cilsy.id/symfony/web/index.php,445,0,6
1.61E+12,1346,Login page-1,200,OK,Users 1-42,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1344,0,808
1.61E+12,1510,"Attendance, Employee Record",200,OK,Users 1-40,text,TRUE,,39429,332,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,1067,0,0
1.61E+12,1067,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-40,text,TRUE,,645,166,6,6,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,1067,0,0
1.61E+12,442,"Attendance, Employee Record-1",200,OK,Users 1-40,text,TRUE,,38784,166,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,231,0,0
1.61E+12,590,"Attendance, Employee Record",200,OK,Users 1-41,text,TRUE,,39429,332,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,340,0,0
1.61E+12,340,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-41,text,TRUE,,645,166,6,6,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,340,0,0
1.61E+12,250,"Attendance, Employee Record-1",200,OK,Users 1-41,text,TRUE,,38784,166,6,6,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,241,0,0
1.61E+12,282,"Admin, General Information",200,OK,Users 1-42,text,TRUE,,39447,350,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,5,"Admin, General Information-0",301,Moved Permanently,Users 1-42,text,TRUE,,663,175,7,7,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,277,"Admin, General Information-1",200,OK,Users 1-42,text,TRUE,,38784,175,7,7,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,270,0,0
1.61E+12,246,Employee List,200,OK,Users 1-40,text,TRUE,,39423,326,7,7,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,7,0,0
1.61E+12,7,Employee List-0,301,Moved Permanently,Users 1-40,text,TRUE,,639,163,7,7,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,7,0,0
1.61E+12,237,Employee List-1,200,OK,Users 1-40,text,TRUE,,38784,163,7,7,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,231,0,0
1.61E+12,252,Employee List,200,OK,Users 1-41,text,TRUE,,39423,326,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,5,0,0
1.61E+12,5,Employee List-0,301,Moved Permanently,Users 1-41,text,TRUE,,639,163,6,6,http://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,5,0,0
1.61E+12,247,Employee List-1,200,OK,Users 1-41,text,TRUE,,38784,163,6,6,https://qa.cilsy.id/symfony/web/index.php/pim/viewEmployeeList/reset/1,241,0,0
1.61E+12,2102,Login page,200,OK,Users 1-43,text,TRUE,,39366,268,6,6,https://qa.cilsy.id/symfony/web/index.php,999,0,4
1.61E+12,999,Login page-0,301,Moved Permanently,Users 1-43,text,TRUE,,581,134,6,6,http://qa.cilsy.id/symfony/web/index.php,999,0,4
1.61E+12,1102,Login page-1,200,OK,Users 1-43,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1099,0,655
1.61E+12,1717,Login page,200,OK,Users 1-44,text,TRUE,,39366,268,6,6,https://qa.cilsy.id/symfony/web/index.php,611,0,4
1.61E+12,611,Login page-0,301,Moved Permanently,Users 1-44,text,TRUE,,581,134,6,6,http://qa.cilsy.id/symfony/web/index.php,611,0,4
1.61E+12,1105,Login page-1,200,OK,Users 1-44,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1101,0,661
1.61E+12,249,"Admin, General Information",200,OK,Users 1-43,text,TRUE,,39447,350,6,6,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,8,0,0
1.61E+12,8,"Admin, General Information-0",301,Moved Permanently,Users 1-43,text,TRUE,,663,175,6,6,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,8,0,0
1.61E+12,241,"Admin, General Information-1",200,OK,Users 1-43,text,TRUE,,38784,175,6,6,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,235,0,0
1.61E+12,241,"Admin, General Information",200,OK,Users 1-44,text,TRUE,,39447,350,6,6,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,5,"Admin, General Information-0",301,Moved Permanently,Users 1-44,text,TRUE,,663,175,6,6,http://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,5,0,0
1.61E+12,236,"Admin, General Information-1",200,OK,Users 1-44,text,TRUE,,38784,175,6,6,https://qa.cilsy.id/symfony/web/index.php/admin/viewOrganizationGeneralInformation,232,0,0
1.61E+12,1468,Login page,200,OK,Users 1-45,text,TRUE,,39366,268,6,6,https://qa.cilsy.id/symfony/web/index.php,338,0,4
1.61E+12,338,Login page-0,301,Moved Permanently,Users 1-45,text,TRUE,,581,134,6,6,http://qa.cilsy.id/symfony/web/index.php,338,0,4
1.61E+12,1129,Login page-1,200,OK,Users 1-45,text,TRUE,,38785,134,6,6,https://qa.cilsy.id/symfony/web/index.php,1125,0,674
1.61E+12,243,"Attendance, Employee Record",200,OK,Users 1-43,text,TRUE,,39429,332,7,7,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,6,0,0
1.61E+12,6,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-43,text,TRUE,,645,166,7,7,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,6,0,0
1.61E+12,237,"Attendance, Employee Record-1",200,OK,Users 1-43,text,TRUE,,38784,166,7,7,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,232,0,0
1.61E+12,244,"Attendance, Employee Record",200,OK,Users 1-44,text,TRUE,,39429,332,7,7,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,5,0,0
1.61E+12,6,"Attendance, Employee Record-0",301,Moved Permanently,Users 1-44,text,TRUE,,645,166,7,7,http://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,5,0,0
1.61E+12,238,"Attendance, Employee Record-1",200,OK,Users 1-44,text,TRUE,,38784,166,7,7,https://qa.cilsy.id/symfony/web/index.php/attendance/viewAttendanceRecord,232,0,0
